,time,tweet,emotion
0,2022-11-27T05:17:50.000Z,"Introducing the O’cean Energy Drink Sustainable Edition in partnership with @BallCorpHQ. The cans are made from at least 70% aluminium and can be recycled forever. So for every can you drink of this sustainable edition, Ball Beverage collects &amp; recycles one @OceanBeverages
#Ad https://t.co/0T2AI62xPC",Joy
1,2022-11-26T04:50:28.000Z,October 23rd 2022 will always be special in my heart. Never felt energy like that in a cricket game before. What a blessed evening that was 💫🙏 https://t.co/rsil91Af7a,Joy
2,2022-11-22T07:15:32.000Z,💫 https://t.co/fHSCJ4zWqO,Trust
3,2022-11-20T09:05:38.000Z,Numero Uno showing why he's the best in the world. Didn't watch it live but I'm sure this was another video game innings by him. 😂 @surya_14kumar,Fear
4,2022-11-20T08:02:02.000Z,☀️😊 https://t.co/vMDmuWUF0Q,Joy
5,2022-11-20T05:34:43.000Z,"Do you think you can match my Karare moves? Then take the #KarareBeatsChallenge on Instagram &amp; win an exclusive bat signed by me.

Try the Karare Beats filter now &amp; send your entries. Tag your friends now!

Filter Link: https://t.co/30X1eG3qRu

#Collab #TooYumm https://t.co/1hYAk3SPd6",Joy
6,2022-11-16T04:59:32.000Z,"Come and experience the Audi lifestyle with Audi Club Rewards. It’s a great way to indulge your senses with the finest of services and immerse yourself in luxury. Come and join the club today.

#AudiClubRewards #FutureIsAnAttitude #ad 
@AudiIN https://t.co/RTlfiTiQsz",Joy
7,2022-11-11T04:46:43.000Z,Thank you to all our fans who turned up in huge numbers throughout to support us in the stadiums. Always feel proud to wear this jersey and represent our country 🇮🇳💙,Joy
8,2022-11-11T04:46:42.000Z,We leave Australian shores short of achieving our dream and with disappointment in our hearts but we can take back a lot of memorable moments as a group and aim to get better from here on. https://t.co/l5NHYMZXPA,Trust
9,2022-11-08T07:13:59.000Z,"Enjoying the process. 🙌♥️
.
#𝗩𝗜deo https://t.co/DmTpAarmzi",Trust
10,2022-11-06T11:43:26.000Z,➡️#semifinals 🇮🇳 https://t.co/1mxL8lSrpL,Joy
11,2022-11-06T04:17:57.000Z,Blessed to receive all your love. Thank you for your warm wishes. ❤️,Joy
12,2022-11-02T12:56:45.000Z,Character &amp; Conviction. 💪 https://t.co/WuYIpr99Xn,Trust
13,2022-10-31T09:10:22.000Z,Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,Surprise
14,2022-10-30T15:49:15.000Z,Tough day today but we focus on the next one. ✌️🇮🇳 https://t.co/REJKpvx82y,Joy
15,2022-10-27T10:46:54.000Z,Another strong result. 🇮🇳💪 https://t.co/J5gKb6za8F,Trust
