,time,tweet,emotion,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
0,2022-11-09T05:16:44.000Z,"RT @ishantraj51: The art of running between the wickets
@imVkohli  @msdhoni https://t.co/n9ZUzXBeeo",Joy,"['rt', '@', 'ishantraj51', ':', 'the', 'art', 'of', 'running', 'between', 'the', 'wickets', '@', 'imvkohli', '@', 'msdhoni', 'https', ':', '//t.co/n9zuzxbeeo']",6.63,4.86,5.73,positive,5.739999999999998,2 out of 7,"['art', 'run']","['rt', 'art', 'run', 'wicket', 'imvkohli', 'msdhoni', 'http']"
1,2022-10-29T21:49:42.000Z,"RT @imkevin149: Virat Kohli slapped haris rauf in front of whole stadium
https://t.co/YybBhi7GMP",Fear,"['rt', '@', 'imkevin149', ':', 'virat', 'kohli', 'slapped', 'haris', 'rauf', 'in', 'front', 'of', 'whole', 'stadium', 'https', ':', '//t.co/yybbhi7gmp']",4.78,4.44,5.34,neutral,4.8533333333333335,3 out of 10,"['slap', 'whole', 'stadium']","['rt', 'virat', 'kohli', 'slap', 'haris', 'rauf', 'front', 'whole', 'stadium', 'http']"
2,2022-10-25T07:25:19.000Z,"RT @sachin_rt: .@imVkohli, it was undoubtedly the best innings of your life. It was a treat to watch you play, the six off the back foot in…",Joy,"['rt', '@', 'sachin_rt', ':', '.', '@', 'imvkohli', ',', 'it', 'was', 'undoubtedly', 'the', 'best', 'innings', 'of', 'your', 'life', '.', 'it', 'was', 'a', 'treat', 'to', 'watch', 'you', 'play', ',', 'the', 'six', 'off', 'the', 'back', 'foot', 'in…']",5.74375,3.71375,5.99375,neutral,5.150416666666667,8 out of 12,"['inning', 'life', 'treat', 'watch', 'play', 'six', 'back', 'foot']","['rt', 'imvkohli', 'undoubtedly', 'best', 'inning', 'life', 'treat', 'watch', 'play', 'six', 'back', 'foot']"
3,2022-10-23T19:17:53.000Z,"RT @ICC: A packed MCG chanting for Virat Kohli 🏟 

Raw vision: Behind the scenes of India’s sensational win 📹 

Goosebumps. 

#T20WorldCup…",Joy,"['rt', '@', 'icc', ':', 'a', 'packed', 'mcg', 'chanting', 'for', 'virat', 'kohli', '🏟', 'raw', 'vision', ':', 'behind', 'the', 'scenes', 'of', 'india', '’', 's', 'sensational', 'win', '📹', 'goosebumps', '.', '#', 't20worldcup…']",5.933333333333334,4.1450000000000005,5.963333333333333,neutral,5.347222222222221,6 out of 15,"['chant', 'raw', 'vision', 'scene', 'sensational', 'win']","['rt', 'icc', 'packed', 'mcg', 'chant', 'virat', 'kohli', 'raw', 'vision', 'behind', 'scene', 'india', 'sensational', 'win', 'goosebumps']"
4,2022-10-23T12:10:30.000Z,"RT @suprsuraj: Virat is not under pressure, Virat is the Pressure - Shaheen Afridi

#ViratKohli𓃵. || #INDvPAK

https://t.co/pbXO6QfWgT",Trust,"['rt', '@', 'suprsuraj', ':', 'virat', 'is', 'not', 'under', 'pressure', ',', 'virat', 'is', 'the', 'pressure', '-', 'shaheen', 'afridi', '#', 'viratkohli𓃵', '.', '||', '#', 'indvpak', 'https', ':', '//t.co/pbxo6qfwgt']",5.0,5.0,5.0,neutral,5.0,2 out of 11,"['neg-pressure', 'pressure']","['rt', 'suprsuraj', 'virat', 'pressure', 'virat', 'pressure', 'shaheen', 'afridi', 'viratkohli𓃵', 'indvpak', 'http']"
5,2022-10-23T12:06:26.000Z,"RT @ICC: The KING is back 👑

Take a bow, Virat Kohli 🙌

#T20WorldCup | #INDvPAK https://t.co/OdAnbmso0h",Trust,"['rt', '@', 'icc', ':', 'the', 'king', 'is', 'back', '👑', 'take', 'a', 'bow', ',', 'virat', 'kohli', '🙌', '#', 't20worldcup', '|', '#', 'indvpak', 'https', ':', '//t.co/odanbmso0h']",5.26,3.8525,5.3825,neutral,4.831666666666667,4 out of 10,"['king', 'back', 'take', 'bow']","['rt', 'icc', 'king', 'back', 'take', 'bow', 'virat', 'kohli', 'indvpak', 'http']"
6,2022-06-20T03:53:32.000Z,"RT @therjsingh007: What is this man fault, does he came with this #AgnipathScheme
They Burned Train Public Properties, gvt not going to pay…",Fear,"['rt', '@', 'therjsingh007', ':', 'what', 'is', 'this', 'man', 'fault', ',', 'does', 'he', 'came', 'with', 'this', '#', 'agnipathscheme', 'they', 'burned', 'train', 'public', 'properties', ',', 'gvt', 'not', 'going', 'to', 'pay…']",4.96125,4.33,5.16375,neutral,4.818333333333333,8 out of 11,"['man', 'fault', 'come', 'burn', 'train', 'public', 'property', 'neg-go']","['rt', 'man', 'fault', 'come', 'agnipathscheme', 'burn', 'train', 'public', 'property', 'gvt', 'go']"
7,2022-06-03T15:13:53.000Z,"@boAtSupport1 Ohk, sorry I sent to @RockWithboAt instead of @boAtSupport1. But I have shared it. Please confirm now.",Fear,"['@', 'boatsupport1', 'ohk', ',', 'sorry', 'i', 'sent', 'to', '@', 'rockwithboat', 'instead', 'of', '@', 'boatsupport1', '.', 'but', 'i', 'have', 'shared', 'it', '.', 'please', 'confirm', 'now', '.']",5.7425,3.6575,6.1475,neutral,5.1825,4 out of 8,"['sorry', 'send', 'share', 'confirm']","['ohk', 'sorry', 'send', 'rockwithboat', 'instead', 'share', 'please', 'confirm']"
8,2022-06-03T13:39:08.000Z,@boAtSupport1 Hi @boAtSupport1 I have shared pickup acknowledgement slip. Please confirm if you have received.,Trust,"['@', 'boatsupport1', 'hi', '@', 'boatsupport1', 'i', 'have', 'shared', 'pickup', 'acknowledgement', 'slip', '.', 'please', 'confirm', 'if', 'you', 'have', 'received', '.']",5.803333333333333,3.788333333333333,6.135,neutral,5.242222222222222,6 out of 8,"['share', 'pickup', 'acknowledgement', 'slip', 'confirm', 'receive']","['hi', 'share', 'pickup', 'acknowledgement', 'slip', 'please', 'confirm', 'receive']"
9,2022-06-03T09:48:17.000Z,"@boAtSupport1 Hi, @RockWithboAt I received mail and notification that, boat courier partner will pickup my product but it's already with you. I have not got it back. And it is now black rockers-330 pro instead yellow as already conveyed before. https://t.co/xsRDumiQ7j",Joy,"['@', 'boatsupport1', 'hi', ',', '@', 'rockwithboat', 'i', 'received', 'mail', 'and', 'notification', 'that', ',', 'boat', 'courier', 'partner', 'will', 'pickup', 'my', 'product', 'but', 'it', ""'s"", 'already', 'with', 'you', '.', 'i', 'have', 'not', 'got', 'it', 'back', '.', 'and', 'it', 'is', 'now', 'black', 'rockers-330', 'pro', 'instead', 'yellow', 'as', 'already', 'conveyed', 'before', '.', 'https', ':', '//t.co/xsrdumiq7j']",5.719285714285713,4.2942857142857145,5.6742857142857135,neutral,5.229285714285714,14 out of 20,"['receive', 'mail', 'notification', 'boat', 'courier', 'partner', 'pickup', 'product', 'neg-get', 'neg-back', 'black', 'pro', 'yellow', 'convey']","['hi', 'rockwithboat', 'receive', 'mail', 'notification', 'boat', 'courier', 'partner', 'pickup', 'product', 'already', 'get', 'back', 'black', 'pro', 'instead', 'yellow', 'already', 'convey', 'http']"
