,time,tweet,emotion,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
0,2022-11-27T05:17:50.000Z,"Introducing the O’cean Energy Drink Sustainable Edition in partnership with @BallCorpHQ. The cans are made from at least 70% aluminium and can be recycled forever. So for every can you drink of this sustainable edition, Ball Beverage collects &amp; recycles one @OceanBeverages
#Ad https://t.co/0T2AI62xPC",Joy,"['introducing', 'the', 'o', '’', 'cean', 'energy', 'drink', 'sustainable', 'edition', 'in', 'partnership', 'with', '@', 'ballcorphq', '.', 'the', 'cans', 'are', 'made', 'from', 'at', 'least', '70', '%', 'aluminium', 'and', 'can', 'be', 'recycled', 'forever', '.', 'so', 'for', 'every', 'can', 'you', 'drink', 'of', 'this', 'sustainable', 'edition', ',', 'ball', 'beverage', 'collects', '&', 'amp', ';', 'recycles', 'one', '@', 'oceanbeverages', '#', 'ad', 'https', ':', '//t.co/0t2ai62xpc']",6.072352941176471,3.9911764705882353,5.847058823529411,positive,5.303529411764706,17 out of 27,"['introduce', 'energy', 'drink', 'edition', 'partnership', 'can', 'make', 'recycle', 'drink', 'edition', 'ball', 'beverage', 'collect', 'amp', 'recycle', 'one', 'ad']","['introduce', 'cean', 'energy', 'drink', 'sustainable', 'edition', 'partnership', 'ballcorphq', 'can', 'make', 'least', 'aluminium', 'recycle', 'forever', 'every', 'drink', 'sustainable', 'edition', 'ball', 'beverage', 'collect', 'amp', 'recycle', 'one', 'oceanbeverages', 'ad', 'http']"
1,2022-11-26T04:50:28.000Z,October 23rd 2022 will always be special in my heart. Never felt energy like that in a cricket game before. What a blessed evening that was 💫🙏 https://t.co/rsil91Af7a,Joy,"['october', '23rd', '2022', 'will', 'always', 'be', 'special', 'in', 'my', 'heart', '.', 'never', 'felt', 'energy', 'like', 'that', 'in', 'a', 'cricket', 'game', 'before', '.', 'what', 'a', 'blessed', 'evening', 'that', 'was', '💫🙏', 'https', ':', '//t.co/rsil91af7a']",6.985,4.265,5.7775,positive,5.675833333333332,8 out of 13,"['special', 'heart', 'energy', 'like', 'cricket', 'game', 'blessed', 'evening']","['october', 'always', 'special', 'heart', 'never', 'felt', 'energy', 'like', 'cricket', 'game', 'blessed', 'evening', 'http']"
2,2022-11-22T07:15:32.000Z,💫 https://t.co/fHSCJ4zWqO,Trust,"['💫', 'https', ':', '//t.co/fhscj4zwqo']",,,,,,0,,['http']
3,2022-11-20T09:05:38.000Z,Numero Uno showing why he's the best in the world. Didn't watch it live but I'm sure this was another video game innings by him. 😂 @surya_14kumar,Fear,"['numero', 'uno', 'showing', 'why', 'he', ""'s"", 'the', 'best', 'in', 'the', 'world', '.', 'did', ""n't"", 'watch', 'it', 'live', 'but', 'i', ""'m"", 'sure', 'this', 'was', 'another', 'video', 'game', 'innings', 'by', 'him', '.', '😂', '@', 'surya_14kumar']",5.467142857142856,4.742857142857143,5.194285714285714,neutral,5.134761904761905,7 out of 12,"['world', 'neg-watch', 'neg-live', 'sure', 'video', 'game', 'inning']","['numero', 'uno', 'showing', 'best', 'world', 'watch', 'live', 'sure', 'another', 'video', 'game', 'inning']"
4,2022-11-20T08:02:02.000Z,☀️😊 https://t.co/vMDmuWUF0Q,Joy,"['☀️😊', 'https', ':', '//t.co/vmdmuwuf0q']",,,,,,0,,['http']
5,2022-11-20T05:34:43.000Z,"Do you think you can match my Karare moves? Then take the #KarareBeatsChallenge on Instagram &amp; win an exclusive bat signed by me.

Try the Karare Beats filter now &amp; send your entries. Tag your friends now!

Filter Link: https://t.co/30X1eG3qRu

#Collab #TooYumm https://t.co/1hYAk3SPd6",Joy,"['do', 'you', 'think', 'you', 'can', 'match', 'my', 'karare', 'moves', '?', 'then', 'take', 'the', '#', 'kararebeatschallenge', 'on', 'instagram', '&', 'amp', ';', 'win', 'an', 'exclusive', 'bat', 'signed', 'by', 'me', '.', 'try', 'the', 'karare', 'beats', 'filter', 'now', '&', 'amp', ';', 'send', 'your', 'entries', '.', 'tag', 'your', 'friends', 'now', '!', 'filter', 'link', ':', 'https', ':', '//t.co/30x1eg3qru', '#', 'collab', '#', 'tooyumm', 'https', ':', '//t.co/1hyak3spd6']",5.516842105263158,4.176842105263158,5.74,neutral,5.144561403508772,19 out of 27,"['think', 'match', 'move', 'take', 'amp', 'win', 'exclusive', 'bat', 'sign', 'try', 'beat', 'filter', 'amp', 'send', 'entry', 'tag', 'friend', 'filter', 'link']","['think', 'match', 'karare', 'move', 'take', 'kararebeatschallenge', 'instagram', 'amp', 'win', 'exclusive', 'bat', 'sign', 'try', 'karare', 'beat', 'filter', 'amp', 'send', 'entry', 'tag', 'friend', 'filter', 'link', 'http', 'collab', 'tooyumm', 'http']"
6,2022-11-16T04:59:32.000Z,"Come and experience the Audi lifestyle with Audi Club Rewards. It’s a great way to indulge your senses with the finest of services and immerse yourself in luxury. Come and join the club today.

#AudiClubRewards #FutureIsAnAttitude #ad 
@AudiIN https://t.co/RTlfiTiQsz",Joy,"['come', 'and', 'experience', 'the', 'audi', 'lifestyle', 'with', 'audi', 'club', 'rewards', '.', 'it', '’', 's', 'a', 'great', 'way', 'to', 'indulge', 'your', 'senses', 'with', 'the', 'finest', 'of', 'services', 'and', 'immerse', 'yourself', 'in', 'luxury', '.', 'come', 'and', 'join', 'the', 'club', 'today', '.', '#', 'audiclubrewards', '#', 'futureisanattitude', '#', 'ad', '@', 'audiin', 'https', ':', '//t.co/rtlfitiqsz']",6.310714285714287,4.042857142857144,5.718571428571429,positive,5.357380952380953,14 out of 24,"['come', 'experience', 'lifestyle', 'club', 'reward', 'great', 'way', 'indulge', 'service', 'luxury', 'come', 'join', 'club', 'ad']","['come', 'experience', 'audi', 'lifestyle', 'audi', 'club', 'reward', 'great', 'way', 'indulge', 'sens', 'finest', 'service', 'immerse', 'luxury', 'come', 'join', 'club', 'today', 'audiclubrewards', 'futureisanattitude', 'ad', 'audiin', 'http']"
7,2022-11-11T04:46:43.000Z,Thank you to all our fans who turned up in huge numbers throughout to support us in the stadiums. Always feel proud to wear this jersey and represent our country 🇮🇳💙,Joy,"['thank', 'you', 'to', 'all', 'our', 'fans', 'who', 'turned', 'up', 'in', 'huge', 'numbers', 'throughout', 'to', 'support', 'us', 'in', 'the', 'stadiums', '.', 'always', 'feel', 'proud', 'to', 'wear', 'this', 'jersey', 'and', 'represent', 'our', 'country', '🇮🇳💙']",6.246666666666666,3.920833333333333,5.9775,positive,5.381666666666668,12 out of 16,"['thank', 'fan', 'turn', 'huge', 'number', 'support', 'stadium', 'feel', 'proud', 'wear', 'represent', 'country']","['thank', 'fan', 'turn', 'huge', 'number', 'throughout', 'support', 'us', 'stadium', 'always', 'feel', 'proud', 'wear', 'jersey', 'represent', 'country']"
8,2022-11-11T04:46:42.000Z,We leave Australian shores short of achieving our dream and with disappointment in our hearts but we can take back a lot of memorable moments as a group and aim to get better from here on. https://t.co/l5NHYMZXPA,Trust,"['we', 'leave', 'australian', 'shores', 'short', 'of', 'achieving', 'our', 'dream', 'and', 'with', 'disappointment', 'in', 'our', 'hearts', 'but', 'we', 'can', 'take', 'back', 'a', 'lot', 'of', 'memorable', 'moments', 'as', 'a', 'group', 'and', 'aim', 'to', 'get', 'better', 'from', 'here', 'on', '.', 'https', ':', '//t.co/l5nhymzxpa']",5.793076923076924,4.094615384615385,5.406923076923077,neutral,5.0982051282051275,13 out of 18,"['leave', 'short', 'achieve', 'dream', 'disappointment', 'heart', 'take', 'back', 'memorable', 'moment', 'group', 'aim', 'get']","['leave', 'australian', 'shore', 'short', 'achieve', 'dream', 'disappointment', 'heart', 'take', 'back', 'lot', 'memorable', 'moment', 'group', 'aim', 'get', 'better', 'http']"
9,2022-11-08T07:13:59.000Z,"Enjoying the process. 🙌♥️
.
#𝗩𝗜deo https://t.co/DmTpAarmzi",Trust,"['enjoying', 'the', 'process', '.', '🙌♥️', '.', '#', '𝗩𝗜deo', 'https', ':', '//t.co/dmtpaarmzi']",6.645,4.45,6.695,positive,5.93,2 out of 4,"['enjoy', 'process']","['enjoy', 'process', '𝗩𝗜deo', 'http']"
