time,tweet
2022-11-09T05:16:44.000Z,"RT @ishantraj51: The art of running between the wickets
@imVkohli  @msdhoni https://t.co/n9ZUzXBeeo"
2022-10-29T21:49:42.000Z,"RT @imkevin149: Virat Kohli slapped haris rauf in front of whole stadium
https://t.co/YybBhi7GMP"
2022-10-25T07:25:19.000Z,"RT @sachin_rt: .@imVkohli, it was undoubtedly the best innings of your life. It was a treat to watch you play, the six off the back foot in…"
2022-10-23T19:17:53.000Z,"RT @ICC: A packed MCG chanting for Virat Kohli 🏟 

Raw vision: Behind the scenes of India’s sensational win 📹 

Goosebumps. 

#T20WorldCup…"
2022-10-23T12:10:30.000Z,"RT @suprsuraj: Virat is not under pressure, Virat is the Pressure - Shaheen Afridi

#ViratKohli𓃵. || #INDvPAK

https://t.co/pbXO6QfWgT"
2022-10-23T12:06:26.000Z,"RT @ICC: The KING is back 👑

Take a bow, Virat Kohli 🙌

#T20WorldCup | #INDvPAK https://t.co/OdAnbmso0h"
2022-06-20T03:53:32.000Z,"RT @therjsingh007: What is this man fault, does he came with this #AgnipathScheme
They Burned Train Public Properties, gvt not going to pay…"
2022-06-03T15:13:53.000Z,"@boAtSupport1 Ohk, sorry I sent to @RockWithboAt instead of @boAtSupport1. But I have shared it. Please confirm now."
2022-06-03T13:39:08.000Z,@boAtSupport1 Hi @boAtSupport1 I have shared pickup acknowledgement slip. Please confirm if you have received.
2022-06-03T09:48:17.000Z,"@boAtSupport1 Hi, @RockWithboAt I received mail and notification that, boat courier partner will pickup my product but it's already with you. I have not got it back. And it is now black rockers-330 pro instead yellow as already conveyed before. https://t.co/xsRDumiQ7j"
2022-06-02T14:04:34.000Z,tag. Stop giving your what's app chat number and email address if you can't reply @RockWithboAt https://t.co/QbLmWnlwDQ
2022-06-02T14:04:32.000Z,But now I have an invoice of blazing yellow and earphones are black one so claimed rejected. This is scam 2022 or what @RockWithboAt.At least reply to the mail or chat or answer queries on call. Such pathetic customer service. Please try to be sincere when you use made in India
2022-06-02T14:04:31.000Z,"@RockWithboAt I purchased blazing yellow Rockers 330 pro in Jan 2022, but the product didn't last two months. So I claimed for warranty and I got a new one but black. Now again in two months, even this one defaulted so I claimed the warranty again. https://t.co/ATEGnfzTCQ"
2021-06-10T18:05:50.000Z,"I completed the Web Security Academy lab:
Exploiting XXE via image file upload

@WebSecAcademy
 https://t.co/0JWVFh3vy6"
2021-06-10T17:57:31.000Z,"I completed the Web Security Academy lab:
Exploiting XInclude to retrieve files

@WebSecAcademy
 https://t.co/9JMrbWNROw"
2021-06-10T17:25:49.000Z,"I completed the Web Security Academy lab:
Exploiting XXE to retrieve data by repurposing a local DTD

@WebSecAcademy
 https://t.co/i1HBiH3Uvd"
2021-06-10T16:59:46.000Z,"Lab: Exploiting blind XXE to retrieve data via error messages | Web Security Academy
 https://t.co/gU3ECk404P"
2021-05-24T16:20:37.000Z,"I completed the Web Security Academy lab:
Exploiting XXE using external entities to retrieve files

@WebSecAcademy
 https://t.co/3glKEhAzvV 
After Long Time But Started Learning Again."
2021-04-24T06:20:58.000Z,"RT @MichaelKugelman: Yes, India’s relationship with the US has taken off while its relationship with Russia has slowed. But Delhi still des…"
2021-04-20T09:06:53.000Z,"RT @intigriti: New XSS challenge, by the one and only @terjanq!
👉 Find the XSS and WIN €300 in SWAG!
👉 Submit your solution before Mon 26 A…"
2021-03-23T13:30:48.000Z,"RT @Vr_coder: I completed the Web Security Academy lab:
Arbitrary object injection in PHP

@WebSecAcademy
 https://t.co/TYMH5wjQqu"
